,date,state,fips,cases,deaths
4579,2020-05-25,Alabama,1,14986,566
903,2020-03-19,Alabama,1,78,0
3424,2020-05-04,Alabama,1,8112,298
4194,2020-05-18,Alabama,1,12086,489
8209,2020-07-30,Alabama,1,85762,1565
4854,2020-05-30,Alabama,1,17359,618
2709,2020-04-21,Alabama,1,5327,186
7439,2020-07-16,Alabama,1,61088,1230
1444,2020-03-29,Alabama,1,830,5
5954,2020-06-19,Alabama,1,29002,822
6559,2020-06-30,Alabama,1,38045,950
8154,2020-07-29,Alabama,1,83782,1538
1719,2020-04-03,Alabama,1,1535,38
2764,2020-04-22,Alabama,1,5610,201
4799,2020-05-29,Alabama,1,17031,610
6009,2020-06-20,Alabama,1,29549,838
4249,2020-05-19,Alabama,1,12376,504
2819,2020-04-23,Alabama,1,5832,197
7494,2020-07-17,Alabama,1,63091,1265
4744,2020-05-28,Alabama,1,16530,591
3369,2020-05-03,Alabama,1,7888,290
6504,2020-06-29,Alabama,1,37175,929
1281,2020-03-26,Alabama,1,538,3
689,2020-03-15,Alabama,1,23,0
1939,2020-04-07,Alabama,1,2197,64
5789,2020-06-16,Alabama,1,26912,785
2544,2020-04-18,Alabama,1,4723,147
1664,2020-04-02,Alabama,1,1270,32
6669,2020-07-02,Alabama,1,40111,985
8319,2020-08-01,Alabama,1,89349,1603
3534,2020-05-06,Alabama,1,8691,343
4964,2020-06-01,Alabama,1,18534,646
1227,2020-03-25,Alabama,1,386,1
4139,2020-05-17,Alabama,1,11771,488
8264,2020-07-31,Alabama,1,87723,1580
2599,2020-04-19,Alabama,1,4903,160
2654,2020-04-20,Alabama,1,5078,164
5844,2020-06-17,Alabama,1,27312,790
6614,2020-07-01,Alabama,1,38962,972
7384,2020-07-15,Alabama,1,59067,1211
5899,2020-06-18,Alabama,1,28206,810
3479,2020-05-05,Alabama,1,8437,315
4909,2020-05-31,Alabama,1,17952,630
4084,2020-05-16,Alabama,1,11674,485
8099,2020-07-28,Alabama,1,82366,1491
1774,2020-04-04,Alabama,1,1632,44
1335,2020-03-27,Alabama,1,639,4
1389,2020-03-28,Alabama,1,720,4
2984,2020-04-26,Alabama,1,6421,219
6229,2020-06-24,Alabama,1,32064,891
6394,2020-06-27,Alabama,1,35083,919
7879,2020-07-24,Alabama,1,76005,1438
3204,2020-04-30,Alabama,1,7068,272
4414,2020-05-22,Alabama,1,13670,541
4524,2020-05-24,Alabama,1,14478,551
7714,2020-07-21,Alabama,1,70358,1303
1829,2020-04-05,Alabama,1,1840,45
3039,2020-04-27,Alabama,1,6539,228
795,2020-03-17,Alabama,1,39,0
3149,2020-04-29,Alabama,1,6925,262
6284,2020-06-25,Alabama,1,33206,896
7769,2020-07-22,Alabama,1,71813,1364
7824,2020-07-23,Alabama,1,74212,1397
3094,2020-04-28,Alabama,1,6750,242
6339,2020-06-26,Alabama,1,34183,907
7934,2020-07-25,Alabama,1,78130,1456
7659,2020-07-20,Alabama,1,68891,1291
4304,2020-05-20,Alabama,1,13052,522
2874,2020-04-24,Alabama,1,6026,209
7549,2020-07-18,Alabama,1,65234,1286
1884,2020-04-06,Alabama,1,2005,53
4689,2020-05-27,Alabama,1,16032,583
3314,2020-05-02,Alabama,1,7611,288
6449,2020-06-28,Alabama,1,35441,919
8044,2020-07-27,Alabama,1,81115,1491
849,2020-03-18,Alabama,1,51,0
6064,2020-06-21,Alabama,1,30021,839
6119,2020-06-22,Alabama,1,30454,841
7989,2020-07-26,Alabama,1,79294,1473
742,2020-03-16,Alabama,1,29,0
4634,2020-05-26,Alabama,1,15650,580
2929,2020-04-25,Alabama,1,6213,213
4359,2020-05-21,Alabama,1,13414,529
3259,2020-05-01,Alabama,1,7294,289
6174,2020-06-23,Alabama,1,31097,864
7604,2020-07-19,Alabama,1,67011,1287
1994,2020-04-08,Alabama,1,2498,67
7329,2020-07-14,Alabama,1,57255,1164
4469,2020-05-23,Alabama,1,14149,549
2049,2020-04-09,Alabama,1,2838,78
6834,2020-07-05,Alabama,1,43953,1007
4029,2020-05-15,Alabama,1,11373,483
586,2020-03-13,Alabama,1,6,0
5129,2020-06-04,Alabama,1,19072,653
2324,2020-04-14,Alabama,1,3953,114
3699,2020-05-09,Alabama,1,9668,390
5294,2020-06-07,Alabama,1,20500,692
5624,2020-06-13,Alabama,1,24601,773
2379,2020-04-15,Alabama,1,4241,123
7164,2020-07-11,Alabama,1,51947,1114
8484,2020-08-04,Alabama,1,93702,1666
5514,2020-06-11,Alabama,1,22845,755
2269,2020-04-13,Alabama,1,3805,104
7109,2020-07-10,Alabama,1,50508,1104
1119,2020-03-23,Alabama,1,196,0
3974,2020-05-14,Alabama,1,11101,473
5184,2020-06-05,Alabama,1,19387,676
5239,2020-06-06,Alabama,1,20043,689
