year,month,day,statefips,case_count,new_case_count
2020,April,1,California,9857,953
2020,April,1,Florida,7769,828
2020,April,1,Illinois,6978,729
2020,April,1,Texas,4402,467
2020,April,1,Wisconsin,1552,133
2020,April,2,California,11190,1019
2020,April,2,Florida,9000,932
2020,April,2,Illinois,7695,737
2020,April,2,Texas,4952,487
2020,April,2,Wisconsin,1730,139
2020,April,3,California,12569,1093
2020,April,3,Florida,10260,1009
2020,April,3,Illinois,8904,839
2020,April,3,Texas,5773,543
2020,April,3,Wisconsin,1916,141
2020,April,4,California,13796,1176
2020,April,4,Florida,11537,1071
2020,April,4,Illinois,10357,973
2020,April,4,Texas,6566,598
2020,April,4,Wisconsin,2112,153
2020,April,5,California,15202,1269
2020,April,5,Florida,12342,1057
2020,April,5,Illinois,11276,952
2020,April,5,Texas,7117,628
2020,April,5,Wisconsin,2267,164
2020,April,6,California,16361,1277
2020,April,6,Florida,13621,1132
2020,April,6,Illinois,12262,1027
2020,April,6,Texas,8150,726
2020,April,6,Wisconsin,2440,167
2020,April,7,California,17540,1280
2020,April,7,Florida,14739,1142
2020,April,7,Illinois,13549,1080
2020,April,7,Texas,8968,769
2020,April,7,Wisconsin,2578,175
2020,April,8,California,19043,1312
2020,April,8,Florida,15690,1132
2020,April,8,Illinois,15078,1157
2020,April,8,Texas,9897,785
2020,April,8,Wisconsin,2756,172
2020,April,9,California,20191,1286
2020,April,9,Florida,16819,1117
2020,April,9,Illinois,16422,1247
2020,April,9,Texas,11372,917
2020,April,9,Wisconsin,2885,165
2020,April,10,California,21366,1257
2020,April,10,Florida,17960,1100
2020,April,10,Illinois,17887,1283
2020,April,10,Texas,12291,931
2020,April,10,Wisconsin,3068,165
2020,April,11,California,22421,1232
2020,April,11,Florida,18978,1063
2020,April,11,Illinois,19180,1260
2020,April,11,Texas,13208,949
2020,April,11,Wisconsin,3213,157
2020,April,12,California,23323,1160
2020,April,12,Florida,19855,1073
2020,April,12,Illinois,20852,1368
2020,April,12,Texas,13776,951
2020,April,12,Wisconsin,3341,153
2020,April,13,California,24334,1139
2020,April,13,Florida,21011,1056
2020,April,13,Illinois,22025,1395
2020,April,13,Texas,14487,905
2020,April,13,Wisconsin,3428,141
2020,April,14,California,25758,1174
2020,April,14,Florida,21620,983
2020,April,14,Illinois,23247,1385
2020,April,14,Texas,15303,905
2020,April,14,Wisconsin,3555,140
2020,April,15,California,27107,1152
2020,April,15,Florida,22526,977
2020,April,15,Illinois,24593,1359
2020,April,15,Texas,16106,887
2020,April,15,Wisconsin,3721,138
2020,April,16,California,28142,1136
2020,April,16,Florida,23332,930
2020,April,16,Illinois,25734,1330
2020,April,16,Texas,16928,794
2020,April,16,Wisconsin,3875,141
2020,April,17,California,29398,1147
2020,April,17,Florida,24745,969
2020,April,17,Illinois,27575,1384
2020,April,17,Texas,18131,834
2020,April,17,Wisconsin,4045,140
2020,April,18,California,30829,1201
2020,April,18,Florida,25484,929
2020,April,18,Illinois,29160,1426
2020,April,18,Texas,18927,817
2020,April,18,Wisconsin,4199,141
2020,April,19,California,31544,1174
2020,April,19,Florida,26306,922
2020,April,19,Illinois,30357,1358
2020,April,19,Texas,19441,809
2020,April,19,Wisconsin,4346,144
2020,April,20,California,33862,1361
2020,April,20,Florida,27050,863
2020,April,20,Illinois,31508,1355
2020,April,20,Texas,20035,793
2020,April,20,Wisconsin,4564,162
2020,April,21,California,35844,1441
2020,April,21,Florida,27861,892
2020,April,21,Illinois,33059,1402
2020,April,21,Texas,20949,807
2020,April,21,Wisconsin,4691,162
2020,April,22,California,37573,1495
2020,April,22,Florida,28301,825
2020,April,22,Illinois,35108,1502
2020,April,22,Texas,21769,809
2020,April,22,Wisconsin,4915,171
2020,April,23,California,39534,1627
2020,April,23,Florida,29640,901
2020,April,23,Illinois,36935,1600
2020,April,23,Texas,22706,825
2020,April,23,Wisconsin,5125,179
2020,April,24,California,41368,1710
2020,April,24,Florida,30525,826
